X	Y	SchoolName	GradeStart	CountyName	OBJECTID	SchoolNCESCode	Co	AEA	DistrictNCESCode	District	DistrictName	School	SchoolLevel	POBox	MailingStreetAddress	MailingCity	State	ZipCode	PhysicalStreet	PhyscialCity	Administrator	Title	GradeEnd	Phone	Fax	EmailAddress
-94.76825251	41.44595212	CAM North Elementary	PK	Cass	11	69	15	13	1905940	914	CAM Comm School District	418	4		709 Mcintyre Dr	Anita	Iowa	50020	709 Mcintyre Dr	Anita	Larry Hunt	Principal	5	(712) 762-3231	(712) 762-3249	lhunt@cam.k12.ia.us
-95.00744407	41.3998554	Atlantic Middle School	6	Cass	12	93	15	13	1903930	387	Atlantic Comm School District	209	3		1100 Linn St	Atlantic	Iowa	50022	1100 Linn St	Atlantic	Josh Rasmussen	Principal	8	(712) 243-1330	(712) 243-7732	jrasmussen@atlanticiaschools.org
-94.99652412	41.39654392	Atlantic High School	9	Cass	13	90	15	13	1903930	387	Atlantic Comm School District	109	1		1201 E 14th St	Atlantic	Iowa	50022	1201 E 14th St	Atlantic	Heather McKay	Principal	12	(712) 243-5358	(712) 243-8007	hmckay@atlanticiaschools.org
-93.64043443	42.47889361	Northeast Hamilton Elementary School	PK	Hamilton	14	1888	40	5	1921120	4775	Northeast Hamilton Comm School District	412	4		606 Illinois St	Blairsburg	Iowa	50034	606 Illinois St	Blairsburg	Mike Kruger	Principal	6	(515) 325-6202	(515) 325-6235	mkruger@ne-hamilton.k12.ia.us
-93.88690951	42.07558094	Franklin Elementary School	2	Boone	15	159	8	11	1905130	729	Boone Comm School District	418	4		1903 Crawford Street	Boone	Iowa	50036	1903 Crawford Street	Boone	Daniel J. Gould	Principal	4	(515) 433-0860	(515) 433-0950	dangould@boone.k12.ia.us
-93.8815835	42.05625143	Page Elementary School	PK	Boone	16	163	8	11	1905130	729	Boone Comm School District	454	4		102 S Boone St	Boone	Iowa	50036	102 S Boone St	Boone	Carolyn Manard	Principal	1	(515) 433-0840	(888) 888-8888	cmanard@boone.k12.ia.us
-93.88755158	42.06172984	Boone High School	9	Boone	17	156	8	11	1905130	729	Boone Comm School District	109	1		400 7th St	Boone	Iowa	50036	400 7th St	Boone	Kristopher Byam	Principal	12	(515) 433-0890	(515) 433-0989	kbyam@boone.k12.ia.us
-93.7766702	42.02528254	United North	PK	Boone	18	2105	8	11	1928560	6561	United Comm School District	427	4		1284 U Ave	Boone	Iowa	50036-0589	1284 U Ave	Boone	Sara Keehn	Principal	1	(515) 432-5393	(515) 432-8930	skeehn@united.k12.ia.us
-93.7766702	42.02528254	United South	2	Boone	19	1650	8	11	1928560	6561	United Comm School District	418	4		1284 U Ave	Boone	Iowa	50036-0589	1284 U Ave	Boone	Sara Keehn	Principal	6	(515) 432-5319	(515) 432-8930	skeehn@united.k12.ia.us
-92.9268736	41.21900764	Twin Cedars Elementary School	PK	Marion	20	1641	63	11	1928170	6512	Twin Cedars Comm School District	418	4		2204 Highway G71	Bussey	Iowa	50044-7512	2204 Highway G71	Bussey	Brian VanderSluis	Principal	6	(641) 944-5245	(641) 944-5824	superintendent@twincedars.k12.ia.us
-92.9268736	41.21900764	Twin Cedars Jr-Sr High School	7	Marion	21	1642	63	11	1928170	6512	Twin Cedars Comm School District	109	1		2204 Highway G71	Bussey	Iowa	50044-7512	2204 Highway G71	Bussey	David Roby	Principal	12	(641) 944-5243	(641) 944-5225	droby@twincedars.k12.ia.us
-93.54506263	41.89966904	East Elementary	3	Story	22	109	85	11	1904200	472	Ballard Comm School District	415	4		505 W 4th St	Cambridge	Iowa	50046	505 W 4th St	Cambridge	Michael Manock	Principal	5	(515) 220-4306	(515) 220-4310	mmanock@ballard.k12.ia.us
-93.4986584	41.49783867	Carlisle Middle School	6	Warren	23	1561	91	11	1906270	981	Carlisle Comm School District	209	3		325 Scotchridge Rd	Carlisle	Iowa	50047	325 Scotchridge Rd	Carlisle	John Elkin	Principal	8	(515) 989-0833	(515) 989-4521	john.elkin@carlisle.k12.ia.us
-93.49048225	41.49841995	Carlisle Elementary School	PK	Warren	24	214	91	11	1906270	981	Carlisle Comm School District	409	4		430 School St	Carlisle	Iowa	50047	430 School St	Carlisle	Barb Niemeyer	Principal	3	(515) 989-0339	(515) 989-3075	barb.niemeyer@carlisle.k12.ia.us
-93.49048225	41.49841995	Carlisle High School	9	Warren	25	215	91	11	1906270	981	Carlisle Comm School District	109	1		430 School St	Carlisle	Iowa	50047	430 School St	Carlisle	Matthew Blackmore	Principal	12	(515) 989-0831	(515) 989-3075	matthew.blackmore@carlisle.k12.ia.us
-93.3123034	41.01337801	Columbus Elementary School	K	Lucas	26	315	59	15	1907050	1107	Chariton Comm School District	418	4		1215 Linden Ave	Chariton	Iowa	50049	1215 Linden Ave	Chariton	Jamie Cranston	Principal	2	(641) 774-4712	(641) 774-0988	jamie.cranston@chariton.k12.ia.us
-93.23210867	41.67841687	Colfax-Mingo High School	7	Jasper	27	386	50	11	1900009	1332	Colfax-Mingo Comm School District	118	1		204 N League Rd	Colfax	Iowa	50054	204 N League Rd	Colfax	Todd L. Jones	Principal	12	(515) 674-4111	(515) 674-4940	tjones@mail.colfax-mingo.k12.ia.us
-93.3035491	41.90329108	Collins-Maxwell Elementary School	PK	Story	28	1950	85	11	1907900	1350	Collins-Maxwell Comm School District	409	4		416 Fourth Avenue	Collins	Iowa	50055	416 Fourth Avenue	Collins	Chad Grandon	Principal	5	(641) 385-2446	(641) 385-2447	cgrandon@collins-maxwell.k12.ia.us
-93.31909825	42.00975481	Colo-NESCO Intermediate School	5	Story	29	2152	85	11	1907920	1359	Colo-NESCO School Comm School District	436	4	Box 136	919 West St	Cole	Iowa	50056	919 West St	Colo	Andrew Ward	Principal	6	(641) 377-2284	(641) 377-2283	award@colo-nesco.k12.ia.us
-93.31909825	42.00975481	Colo-NESCO  Jr./Sr. High School	7	Story	30	395	85	11	1907920	1359	Colo-NESCO School Comm School District	172	1	Box 136	919 West St	Colo	Iowa	50056	919 West St	Colo	Brandon Kelley	Principal	12	(641) 377-2282	(641) 377-2283	bkelley@colo-nesco.k12.ia.us
-93.96188201	41.68129812	Dallas Center-Grimes Middle School	6	Dallas	31	453	25	11	1908520	1576	Dallas Center-Grimes Comm School District	209	3	PO Box  608	1400 Vine Street	Dallas Center	Iowa	50063	1400 Vine Street	Dallas Center	Jerry Hlas	Principal	7	(515) 992-4343	(515) 992-4076	jhlas@dc-grimes.k12.ia.us
-93.60539995	40.82690185	Mormon Trail Jr-Sr High School	7	Decatur	32	1160	27	13	1919740	4505	Mormon Trail Comm School District	172	1	PO Box  177	502 E. Main St	Garden Grove	Iowa	50103	502 E. Main St	Garden Grove	Steve Hunt	Principal	12	(641) 443-3425	(641) 443-2644	shunt@mormontrailcsd.org
-93.64221392	42.1067999	Gilbert Intermediate School	3	Story	33	2192	85	11	1912510	2466	Gilbert Comm School District	418	4		103 Mathews Dr	Gilbert	Iowa	50105	103 Mathews Dr	Gilbert	Amy Griffin	Principal	5	(515) 232-3748		griffina@gilbert.k12.ia.us
-93.82083275	41.76116049	Woodward-Granger Elementary School	2	Dallas	34	1867	25	11	1932010	7110	Woodward-Granger Comm School District	418	4		2002 Oak Street	Granger	Iowa	50109	2002 Oak Street	Granger	Matt Brummond	Principal	5	(515) 438-4263		mattbrummond@wghawks.school
-93.82377151	41.68853587	Dallas Center-Grimes High School	10	Dallas	35	451	25	11	1908520	1576	Dallas Center-Grimes Comm School District	109	1		2555 W 1st St	Grimes	Iowa	50111	2555 W 1st St	Grimes	Cary Justmann	Principal	12	(515) 986-9747	(515) 986-9734	cjustmann@dc-grimes.k12.ia.us
-93.82377151	41.68853587	DC-G Meadows	8	Dallas	36	2174	25	11	1908520	1576	Dallas Center-Grimes Comm School District	218	3		2555 W 1st St Suite 200	Grimes	Iowa	50111	2555 W 1st St  Suite 200	Grimes	Lori Phillips	Principal	9	(515) 986-0105	(515) 986-3155	lphillips@dc-grimes.k12.ia.us
-94.49674614	41.66874745	Guthrie Center High School	9	Guthrie	37	804	39	11	1913320	2754	Guthrie Center Comm School District	109	1		906 School St	Guthrie Center	Iowa	50115	906 School St	Guthrie Center	Garold Thomas	Principal	12	(641) 332-2236	(641) 332-2973	gthomas@guthrie.k12.ia.us
-94.49674614	41.66874745	Guthrie Center Junior High School	7	Guthrie	38	805	39	11	1913320	2754	Guthrie Center Comm School District	209	2		906 School St	Guthrie Center	Iowa	50115	906 School St	Guthrie Center	Shane Arp	Principal	8	(641) 332-2974	(641) 332-2973	sarp@guthrie.k12.ia.us
-94.50342348	41.68456781	Guthrie Center Elementary School	PK	Guthrie	39	803	39	11	1913320	2754	Guthrie Center Comm School District	409	4		900 N 4th St	Guthrie Center	Iowa	50115	900 N 4th St	Guthrie Center	Diane Flanery	Principal	6	(641) 332-2720	(641) 332-2721	dflanery@guthrie.k12.ia.us
-93.29797068	42.30431666	South Hardin Middle School	6	Hardin	40	1390	42	7	1914310	3033	Hubbard-Radcliffe Comm School District	409	3	PO Box  129	200 E. Chestnut	Hubbard	Iowa	50122	200 E. Chestnut	Hubbard	Duane Harding	Principal	8	(641) 864-2211	(641) 864-2422	dharding@hub-rad.k12.ia.us
-93.60635835	41.89765315	Ballard Middle School	6	Story	41	106	85	11	1904200	472	Ballard Comm School District	209	3	PO Box 307	509 N Main Ave	Huxley	Iowa	50124-0307	509 N Main Ave	Huxley	Thomas Maher	Principal	8	(515) 597-2815	(515) 597-2818	tmaher@ballard.k12.ia.us
-93.26579724	42.52866476	Rock Run Elementary	3	Hardin	42	907	42	7	1914730	3150	Iowa Falls Comm School District	409	4		710 North St	Iowa Falls	Iowa	50126	710 North St	Iowa Falls	Mike Swartzendruber	Principal	5	(641) 648-6420	(641) 648-6422	mswartzendruber@ifacadets.net
-93.27178851	42.52419615	Riverbend Middle School	7	Hardin	43	905	42	7	1914730	3150	Iowa Falls Comm School District	209	3		1124 Union St.	Iowa Falls	Iowa	50126	1124 Union St.	Iowa Falls	Jeff Burchfield	Principal	8	(641) 648-6430	(641) 648-6432	jburchfield@ifacadets.net
-93.27824091	42.51996215	Pineview Elementary	PK	Hardin	44	908	42	7	1914730	3150	Iowa Falls Comm School District	436	4		1510 Washington Ave	Iowa Falls	Iowa	50126	1510 Washington Ave	Iowa Falls	Ryan Robison	Principal	2	(641) 648-6410	(641) 648-6411	rrobison@ifacadets.net
-94.37555677	42.00260689	Greene County High School	9	Greene	45	918	37	5	1915210	3195	Greene County Comm School District	109	1		101 Ram Drive	Jefferson	Iowa	50129	101 Ram Drive	Jefferson	Brian Phillips	Principal	12	(515) 386-2188	(515) 386-2159	phillipsb@greenecountycsd.net
-93.6463877	42.3036988	South Hamilton Elem	PK	Hamilton	46	1547	40	5	1926640	6095	South Hamilton Comm School District	418	4		315 Division Street	Jewell	Iowa	50130	404 Blaine St	Jewell	Paul D. Hemphill	Principal	6	(515) 827-5096	(515) 827-5868	paul_hemphill@s-hamilton.k12.ia.us
-93.64497565	42.30230027	South Hamilton Middle And High School	7	Hamilton	47	1549	40	5	1926640	6095	South Hamilton Comm School District	109	1		315 Division St	Jewell	Iowa	50130	315 Division St	Jewell	W. Scott Dryer	Principal	12	(515) 827-5418	(515) 827-5368	scott_dryer@s-hamilton.k12.ia.us
-93.93562781	40.62569486	Lamoni Elementary School	PK	Decatur	48	974	27	13	1916320	3465	Lamoni Comm School District	409	4		202 N Walnut St	Lamoni	Iowa	50140	202 N Walnut St	Lamoni	Andy Peterson	Principal	5	(641) 784-3422	(641) 784-6602	apeterson@lamoni.k12.ia.us
-93.93562781	40.62569486	Lamoni Middle School	6	Decatur	49	2019	27	13	1916320	3465	Lamoni Comm School District	250	3		202 N Walnut St	Lamoni	Iowa	50140	202 N Walnut St	Lamoni	Andy Peterson	Principal	8	(641) 784-7299	(641) 784-6548	apeterson@lamoni.k12.ia.us
-93.93562781	40.62569486	Lamoni High School	9	Decatur	50	975	27	13	1916320	3465	Lamoni Comm School District	172	1		202 N Walnut St	Lamoni	Iowa	50140	202 N Walnut St	Lamoni	Andy Peterson	Principal	12	(641) 784-3351	(641) 784-6548	apeterson@lamoni.k12.ia.us
-93.74303274	40.74823478	North Elementary School	3	Decatur	51	816	27	13	1906900	1093	Central Decatur Comm School District	427	4		1203 NE Poplar Street	Leon	Iowa	50144	1203 NE Poplar Street	Leon	Amy Whittington	Principal	6	(641) 446-4452	(641) 446-8729	amy.whittington@centraldecatur.org
-93.74593243	40.73583203	South Elementary School	PK	Decatur	52	300	27	13	1906900	1093	Central Decatur Comm School District	436	4		201 SE 6th St	Leon	Iowa	50144	201 SE 6th St	Leon	Amy Whittington	Principal	2	(641) 446-6521	(641) 446-3856	amy.whittington@centraldecatur.org
-93.82293113	41.87730118	Madrid Elementary School	PK	Boone	53	1039	8	11	1918180	3942	Madrid Comm School District	409	4		213 W 1st St	Madrid	Iowa	50156	213 W 1st St	Madrid	Gayle J. Strickland	Principal	6	(515) 795-3240	(515) 795-2121	gstrickland@madrid.k12.ia.us
-92.93059245	42.04711204	B R Miller Middle School	7	Marshall	54	1084	64	7	1918720	4104	Marshalltown Comm School District	218	3		125 S 11th St	Marshalltown	Iowa	50158	125 S 11th St	Marshalltown	Jacy Large	Principal	8	(641) 754-1110	(641) 754-1115	jlarge@marshalltown.k12.ia.us
-92.91942621	42.05239826	Rogers Elementary School	PK	Marshall	55	1093	64	7	1918720	4104	Marshalltown Comm School District	481	4		406 Summit St	Marshalltown	Iowa	50158	406 Summit St	Marshalltown	Michael S. Jurgensen	Principal	4	(641) 754-1070	(641) 754-1072	mjurgensen@marshalltown.k12.ia.us
-92.90247178	42.05034073	Woodbury Elementary School	PK	Marshall	56	1095	64	7	1918720	4104	Marshalltown Comm School District	491	4		8 N 7th Ave	Marshalltown	Iowa	50158	8 N 7th Ave	Marshalltown	Anel Garza	Principal	4	(641) 754-1080	(641) 754-1083	agarza@marshalltown.k12.ia.us
-92.91770929	42.03205747	Lenihan Intermediate School	5	Marshall	57	1404	64	7	1918720	4104	Marshalltown Comm School District	479	4		212 W Ingledue	Marshalltown	Iowa	50158	212 W Ingledue St	Marshalltown	Kyle Young	Principal	6	(641) 754-1160		kyoung@marshalltown.k12.ia.us
-92.90523244	42.01847715	J C Hoglan Elementary School	PK	Marshall	58	1089	64	7	1918720	4104	Marshalltown Comm School District	475	4		2306 S 3rd Ave	Marshalltown	Iowa	50158	2306 S 3rd Ave	Marshalltown	Amy M. Williams	Principal	4	(641) 754-1060	(641) 754-1062	awilliams2@marshalltown.k12.ia.us
-92.90983986	42.03042148	Marshalltown High School	9	Marshall	59	1091	64	7	1918720	4104	Marshalltown Comm School District	109	1		1602 S 2nd Ave	Marshalltown	Iowa	50158	1602 S 2nd Ave	Marshalltown	Jacquline Wyant	Principal	12	(641) 754-1130	(641) 754-1136	jwyant@marshalltown.k12.ia.us
-92.93624718	42.0479063	Franklin Elementary Sch	PK	Marshall	60	372	64	7	1918720	4104	Marshalltown Comm School District	435	4		1315 W Main St	Marshalltown	Iowa	50158	1315 W Main St	Marshalltown	Timothy Holmgren	Principal	4	(641) 754-1041	(641) 754-1043	tholmgren@marshalltown.k12.ia.us
-92.91948387	42.02421445	Fisher Elementary School	PK	Marshall	61	1086	64	7	1918720	4104	Marshalltown Comm School District	445	4		2001 S 4th St	Marshalltown	Iowa	50158	2001 S 4th St	Marshalltown	Vicki Vopava	Principal	4	(641) 754-1030	(641) 754-1037	vvopava@marshalltown.k12.ia.us
-93.39684487	41.89037753	Collins-Maxwell Middle/High School	6	Story	62	1951	85	11	1907900	1350	Collins-Maxwell Comm School District	109	1		400 Metcalf St.	Maxwell	Iowa	50161	400 Metcalf St.	Maxwell	Jordan Nelson	Principal	12	(515) 387-1115	(515) 387-8842	jnelson@collins-maxwell.k12.ia.us
-93.4378344	42.02267605	Nevada High School	9	Story	63	1202	85	11	1920250	4617	Nevada Comm School District	109	1		1001 15th St	Nevada	Iowa	50201	1001 15th St	Nevada	Justin Gross	Principal	12	(515) 382-3521	(515) 382-2935	jgross@nevada.k12.ia.us
-93.04971611	41.69266993	Newton Senior High School	9	Jasper	64	1226	50	11	1920610	4725	Newton Comm School District	109	1		800 E 4th St So	Newton	Iowa	50208	800 E 4th St So	Newton	Bill Peters	Principal	12	(641) 792-5797	(641) 792-0005	petersb@newton.k12.ia.us
-93.06186239	41.6927461	Woodrow Wilson Elementary School	4	Jasper	65	2119	50	11	1920610	4725	Newton Comm School District	463	4		801 S 8th Ave West	Newton	Iowa	50208	801 S 8th Ave West	Newton	Todd Schuster	Principal	6	(641) 792-7311	(641) 792-0186	schustert@newton.k12.ia.us
-93.0458109	41.70338445	Emerson Hough Elementary School	PK	Jasper	66	2131	50	11	1920610	4725	Newton Comm School District	436	19		700 N 4th Ave East	Newton	Iowa	50208	700 N 4th Ave East	Newton	Tina Ross	Principal	PK	(641) 792-3982	(641) 792-1504	rosst@newton.k12.ia.us
-93.0275818	41.70364804	Berg Elementary School	K	Jasper	67	2117	50	11	1920610	4725	Newton Comm School District	414	4		1900 N 5th Ave East	Newton	Iowa	50208	1900 N 5th Ave East	Newton	Jolene Comer	Principal	3	(641) 792-7742	(641) 792-7779	comerj@newton.k12.ia.us
-93.02423082	41.69636729	Aurora Heights Elementary School	4	Jasper	68	2127	50	11	1920610	4725	Newton Comm School District	407	4		310 E 23rd St So	Newton	Iowa	50208	310 E 23rd St So	Newton	Jim Gilbert	Principal	6	(641) 792-7324	(641) 792-7701	gilbertj@newton.k12.ia.us
-93.0275818	41.70364804	Berg Middle School	7	Jasper	69	1221	50	11	1920610	4725	Newton Comm School District	227	3		1900 N 5th Ave East	Newton	Iowa	50208	1900 N 5th Ave East	Newton	Lisa Sharp	Principal	8	(641) 792-7741	(641) 792-7779	sharpl@newton.k12.ia.us
-93.0458109	41.70338445	Basics and Beyond Alternative School	10	Jasper	70	2052	50	11	1920610	4725	Newton Comm School District	127	9		700 N 4th Ave E Suite200	Newton	Iowa	50208	700 N 4th Ave E Suite200	Newton	Laura Selover	Principal	12	(641) 792-5809	(641) 792-9159	seloverl@newton.k12.ia.us
-93.67393649	41.47198388	Norwalk Middle School	6	Warren	71	1274	91	11	1921240	4797	Norwalk Comm School District	209	3		200 Cherry Street	Norwalk	Iowa	50211	200 Cherry Street	Norwalk	Beth Ward	Principal	9	(515) 981-0435	(515) 981-0771	bward@norwalk.k12.ia.us
-93.68380394	41.49870439	Lakewood Elementary School	3	Warren	72	1273	91	11	1921240	4797	Norwalk Comm School District	411	4		9210 Happy Hollow Dr	Norwalk	Iowa	50211	9210 Happy Hollow Dr	Norwalk	Jill Anderson	Principal	5	(515) 981-1850	(515) 256-7823	janderson@norwalk.k12.ia.us
-93.6712127	41.47524097	Norwalk Senior High School	10	Warren	73	1275	91	11	1921240	4797	Norwalk Comm School District	109	1		1201 North Ave	Norwalk	Iowa	50211	1201 North Ave	Norwalk	Chris Basinger	Principal	12	(515) 981-4201	(515) 981-9875	cbasinger@norwalk.k12.ia.us
-93.68035131	41.47319013	Oviatt Elementary School	PK	Warren	74	1276	91	11	1921240	4797	Norwalk Comm School District	418	4		713 School Ave	Norwalk	Iowa	50211	713 School Ave	Norwalk	Sheila Taylor	Principal	2	(515) 981-1005	(515) 981-1007	staylor@norwalk.k12.ia.us
-94.02657093	42.03637169	Howe Elementary School	PK	Boone	75	1293	8	11	1921660	4878	Ogden Comm School District	409	4	PO Box  250	307 SE 2nd St	Ogden	Iowa	50212-0250	307 SE 2nd St	Ogden	Dave Neubauer	Principal	4	(515) 275-2795	(515) 275-4914	dave.neubauer@ogden.k12.ia.us
-93.76961666	41.04276125	Clarke Community High School	9	Clarke	76	349	20	13	1907410	1211	Clarke Comm School District	109	1		800 N Jackson St	Osceola	Iowa	50213	800 N Jackson St	Osceola	Shane Stephens	Principal	12	(641) 342-6505	(641) 342-2213	sstephens@clarke.k12.ia.us
-93.75860831	41.03215101	Clarke Community Elementary School	PK	Clarke	77	351	20	13	1907410	1211	Clarke Comm School District	409	4		420 E Jefferson St	Osceola	Iowa	50213	420 E Jefferson St	Osceola	Jill Kiger	Principal	6	(641) 342-6320	(641) 342-4861	jkiger@clarke.k12.ia.us
-93.76961666	41.04276125	Clarke Middle School School	7	Clarke	78	350	20	13	1907410	1211	Clarke Comm School District	209	2		800 N Jackson St	Osceola	Iowa	50213	800 N Jackson St	Osceola	Jeff Sogard	Principal	8	(641) 342-4221	(641) 342-2213	jsogard@clarke.k12.ia.us
-94.37430631	41.69541558	Panorama Elementary	PK	Guthrie	79	606	39	11	1900025	5121	Panorama Comm School District	424	4	PO Box 819	401 Panther Drive	Panora	Iowa	50216-0039	401 Panther Drive	Panora	Mary Breyfogle	Principal	5	(641) 755-2021	(641) 755-3008	mary.breyfogle@panorama.k12.ia.us
-93.23329536	41.59504641	Prairie City Elementary School	PK	Jasper	80	2062	50	11	1999017	5160	PCM Comm School District	409	4	PO Box  490	309 East Plainsmen Road	Prairie City	Iowa	50228	309 East Plainsmen Road	Prairie City	Mary Poulter	Principal	5	(515) 994-2377	(515) 994-3280	mpoulter@pcmonroe.k12.ia.us
-93.50038898	42.16437272	Roland-Story Middle School	5	Story	81	1424	85	11	1924870	5643	Roland-Story Comm School District	209	3		206 S Main St	Roland	Iowa	50236	206 S Main St	Roland	John P. Sheahan	Principal	8	(515) 388-4348	(515) 388-4435	jsheahan@roland-story.k12.ia.us
-93.67725025	41.88280422	West Elementary	PK	Story	82	108	85	11	1904200	472	Ballard Comm School District	425	4	PO Box 267	105 E Main St	Slater	Iowa	50244-0267	105 E Main St	Slater	Jennifer Johnson	Principal	2	(515) 228-3890	(515) 228-3892	jjjohnson@ballard.k12.ia.us
-93.16633899	42.0154136	West Marshall Elementary School	PK	Marshall	83	1811	64	7	1931080	6985	West Marshall Comm School District	436	4	Box 370	207 3rd St SW	State Center	Iowa	50247	207 3rd St SW	State Center	Chris deNeui	Principal	5	(641) 483-2671	(641) 483-9951	cdeneui@wmcsd.org
-93.92704485	42.27305591	Stratford Elementary	PK	Hamilton	84	1603	40	5	1927480	6246	Stratford Comm School District	409	4	PO Box  190	1000 Shakespeare Ave	Stratford	Iowa	50249-0190	1000 Shakespeare Ave	Stratford	Sarah Binder	Principal	6	(515) 838-2208	(515) 838-1938	sbinder@stratford.k12.ia.us
-94.31466778	41.50599824	West Central Valley High School	9	Guthrie	85	1607	39	11	1927500	6264	West Central Valley Comm School District	109	1	PO Box 550	3299 White Pole Rd	Stuart	Iowa	50250	3299 White Pole Rd	Stuart	Debbie Wilson	Principal	12	(515) 523-1313	(515) 523-2765	dwilson@wcv.k12.ia.us
-92.8437436	41.58234107	Lynnville-Sully Middle School	6	Jasper	86	1994	50	11	1918030	3906	Lynnville-Sully Comm School District	415	3	P. O. Box 210	12476 Hwy F62 E	Sully	Iowa	50251	12476 Hwy F62 E	Sully	Teri Bowlin	Principal	8	(641) 594-4445	(641) 594-2770	bowlin@lshawks.com
-92.8437436	41.58234107	Lynnville-Sully Elementary School	K	Jasper	87	1964	50	11	1918030	3906	Lynnville-Sully Comm School District	412	4	P. O. Box 210	12476 Hwy F62 E	Sully	Iowa	50251	12476 Hwy F62  E	Sully	Teri Bowlin	Principal	5	(641) 594-4445	(641) 594-2770	bowlin@lshawks.com
-92.8437436	41.58234107	Lynnville-Sully High School	9	Jasper	88	1031	50	11	1918030	3906	Lynnville-Sully Comm School District	109	1	PO Box  210	12476 Hwy F62 E	Sully	Iowa	50251	12476 Hwy F62 E	Sully	Matt Rasmusson	Principal	12	(641) 594-4445	(641) 594-2770	rasmusson@lshawks.com
-93.06824745	42.24417124	BCLUW Middle School	5	Grundy	89	87	38	7	1904440	540	BCLUW Comm School District	209	3	PO Box  10	704 Commercial St	Union	Iowa	50258	704 Commercial St	Union	Dirk Borgman	Principal	8	(641) 486-5371	(641) 486-5372	dborgman@bcluw.org
-93.86609443	41.60348089	Waukee Senior High School	10	Dallas	90	1744	25	11	1930510	6822	Waukee Comm School District	109	1		555 SE University Avenue	Waukee	Iowa	50263	555 SE University Avenue	Waukee	Kirk Johnson	Principal	12	(515) 987-5163	(515) 987-2784	kjohnson3@waukeeschools.org
-93.8662558	41.58743282	Waukee South MS	6	Dallas	91	2116	25	11	1930510	6822	Waukee Comm School District	218	3		2350 SE LA Grant Parkway	Waukee	Iowa	50263	2350 SE LA Grant Parkway	Waukee	Doug Barry	Principal	7	(515) 987-3222	(515) 987-3233	dbarry@waukeeschools.org
